0.0s - 4.0s: 同学们,我们生活在一个充满声音和光的世界里
2391.7s - 2393.7s: 收购到了KP
2393.7s - 2396.7s: 用光绕去做一些实验
2396.7s - 2398.7s: 嗯,做一些实验,比如
2398.7s - 2401.7s: 比如像这种测试光是不是直线?
2401.7s - 2403.7s: 测试光是不是直线吗?
2403.7s - 2406.7s: 测试光是直线
2406.7s - 2407.7s: 嗯
2412.7s - 2414.7s: 嗯,清楚了,纠正一点
2414.7s - 2416.7s: 是,太久光是直线
2416.7s - 2418.7s: 是,在其他的技术中,眼线传播
2418.7s - 2420.7s: 因为光线是螺旋
2420.7s - 2422.7s: 还有吗?还学到什么?
2425.7s - 2427.7s: 还知道了什么?
2427.7s - 2429.7s: 还知道什么?
2434.7s - 2437.7s: 光源区别,以及光眼线传播的
2439.7s - 2440.7s: 作业,好,下课
2440.7s - 2442.7s: 同学们再见
2443.7s - 2445.7s: 好了,但好你们的物品
2445.7s - 2447.7s: 把器材放在脖子里
2447.7s - 2449.7s:
